,Category,Brand,Comments,Repair_Status,Event_Location,Restart_Group,Event_Date,Location_Coordinates
14,Toy,Unknown,Doesn't work / Can't find fault,End of life,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
15,Tablet,Hudl,"Unable to charge / couldn't find fault, returning when more time",Repairable,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
16,Lamp,Unknown,Not working / replaced fuse in plug,Fixed,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
17,Misc,Silvercrest,Not working / not able to find fault,Repairable,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
18,Musical instrument,Yamaha,Not working / can't find fault,End of life,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
19,Mobile,Unknown,Needs help with phone software / O2 guru assisted,Fixed,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
20,Lamp,Unknown,Issue with attaching shade / given Sugru to fix at home,Repairable,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
21,Misc,Unknown,"Switch not working / internal fuse blown, returning when sourced new fuse",Repairable,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
22,Lamp,Unknown,"Switch doesn't work / switch broken, bypassed, so now just use plug for on/off",Fixed,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
23,Lamp,Unknown,Not working / rewire and new plug,Fixed,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
24,"Flat screen 19-20""",Unknown,Nothing displayed / unable to find fault,Repairable,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
25,Vacuum,Hoover,Doesn't suck well/cleaned the filters!,Fixed,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
26,Laptop small,Dell,Issue with keyboard and tracker pad buttons / needs new button unti,Repairable,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
27,Laptop medium,Unknown,Doesn't charge/fixed power socket,Fixed,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
28,Misc,Unknown,"Won't play music through speakers/loose connection on circuit board, found work around so it works",Fixed,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
29,Toaster,Unknown,Leaver forced instead of using cancel button - realigned mechanics,Fixed,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
30,Misc,Unknown,Flashing on/off and not working/need a new heating element,Repairable,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
31,Power tool,Bosch,Not working - unable to find fault,Repairable,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
32,Paper shredder,Fellowes,Only worked in reverse - cleaned,Fixed,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
33,TV and gaming-related accessories,Nintendo,Not working - couldn't test without a TV,Repairable,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
34,Lamp,Unknown,Not working / bypassed switch and replaced plug,Fixed,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
35,Power tool,Flymo,Won't switch on/cleaned the switch and now works,Fixed,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
36,Portable radio,Bush,"Not working - capacity blown, ordered and returning next month",Repairable,Buckland United Reformed Church,Repair Café Portsmouth,2019-03-16,"[50.8111705, -1.0792584]"
37,Mobile,Unknown,gsm updaten,Fixed,Jeugdhuis Far,Repair Cafe Warmkracht Vilvoorde,2019-03-09,"[50.9272511, 4.4257868]"
38,Small kitchen item,Unknown,wateketel,Fixed,Jeugdhuis Far,Repair Cafe Warmkracht Vilvoorde,2019-03-09,"[50.9272511, 4.4257868]"
39,Laptop medium,Unknown,laptop werkt niet,End of life,Jeugdhuis Far,Repair Cafe Warmkracht Vilvoorde,2019-03-09,"[50.9272511, 4.4257868]"
40,Lamp,Unknown,lamp herstellen,Fixed,Jeugdhuis Far,Repair Cafe Warmkracht Vilvoorde,2019-03-09,"[50.9272511, 4.4257868]"
41,Vacuum,AEG,werkt niet meer,Fixed,Jeugdhuis Far,Repair Cafe Warmkracht Vilvoorde,2019-03-09,"[50.9272511, 4.4257868]"
42,Small kitchen item,Unknown,shaker: slecht contact,Fixed,Jeugdhuis Far,Repair Cafe Warmkracht Vilvoorde,2019-03-09,"[50.9272511, 4.4257868]"
43,Power tool,Unknown,boormachine slecht contact,Fixed,Jeugdhuis Far,Repair Cafe Warmkracht Vilvoorde,2019-03-09,"[50.9272511, 4.4257868]"
44,Hi-Fi separates,Sony,cd speler werkt niet meer,Fixed,Jeugdhuis Far,Repair Cafe Warmkracht Vilvoorde,2019-03-09,"[50.9272511, 4.4257868]"
45,Small kitchen item,Bluesky,broodrooster werkt niet meer,Fixed,Jeugdhuis Far,Repair Cafe Warmkracht Vilvoorde,2019-03-09,"[50.9272511, 4.4257868]"
46,Laptop medium,Unknown,werkt niet meer,End of life,Jeugdhuis Far,Repair Cafe Warmkracht Vilvoorde,2019-03-09,"[50.9272511, 4.4257868]"
47,Portable radio,Unknown,werkt niet meer,End of life,Jeugdhuis Far,Repair Cafe Warmkracht Vilvoorde,2019-03-09,"[50.9272511, 4.4257868]"
48,Small kitchen item,Unknown,frietketel wordt niet meer warm,Fixed,Jeugdhuis Far,Repair Cafe Warmkracht Vilvoorde,2019-03-09,"[50.9272511, 4.4257868]"
49,Printer/scanner,Canon,papier blijft vastzitten,Fixed,LDC Kassei,Repair Cafe Warmkracht Vilvoorde,2019-02-09,"[50.9272511, 4.4257868]"
50,Mobile,Siemens,gsm werkt niet meer,End of life,LDC Kassei,Repair Cafe Warmkracht Vilvoorde,2019-02-09,"[50.9272511, 4.4257868]"
51,Misc,Unknown,vast telefoontoestel werkt niet meer,End of life,LDC Kassei,Repair Cafe Warmkracht Vilvoorde,2019-02-09,"[50.9272511, 4.4257868]"
52,Misc,Unknown,waterpomp werkt niet meer,End of life,LDC Kassei,Repair Cafe Warmkracht Vilvoorde,2019-02-09,"[50.9272511, 4.4257868]"
53,"Flat screen 15-17""",Samsung,werkt niet,End of life,LDC Kassei,Repair Cafe Warmkracht Vilvoorde,2019-02-09,"[50.9272511, 4.4257868]"
54,Misc,Unknown,kookvuur warmt niet,End of life,LDC Kassei,Repair Cafe Warmkracht Vilvoorde,2019-02-09,"[50.9272511, 4.4257868]"
55,Digital Compact Camera,Unknown,lens gaat niet meer open en toe,End of life,LDC Kassei,Repair Cafe Warmkracht Vilvoorde,2019-02-09,"[50.9272511, 4.4257868]"
56,Misc,Philips,koffiezetapparaat duurt 45min voor koffie doorgelopen is,Repairable,LDC Kassei,Repair Cafe Warmkracht Vilvoorde,2019-02-09,"[50.9272511, 4.4257868]"
57,Misc,IKEA,wekker: licht en alarm werkt niet meer,Fixed,LDC Kassei,Repair Cafe Warmkracht Vilvoorde,2019-02-09,"[50.9272511, 4.4257868]"
58,Misc,Philips,stoomstrijkijzer warmt niet meer op,Fixed,LDC Kassei,Repair Cafe Warmkracht Vilvoorde,2019-02-09,"[50.9272511, 4.4257868]"
59,Lamp,Unknown,dimmer werkt niet meer,Fixed,LDC Kassei,Repair Cafe Warmkracht Vilvoorde,2019-02-09,"[50.9272511, 4.4257868]"
60,Vacuum,Miele,doet niets meer,Fixed,LDC Kassei,Repair Cafe Warmkracht Vilvoorde,2019-02-09,"[50.9272511, 4.4257868]"
61,Portable radio,Unknown,radio doet niets meer,End of life,LDC Kassei,Repair Cafe Warmkracht Vilvoorde,2019-02-09,"[50.9272511, 4.4257868]"
62,TV and gaming-related accessories,Microsoft,bumper stuck and thumbstick broken. Replaced analog stick,Fixed,STPLN Sunday Repair,Repair Cafe Malmö,2019-03-24,"[55.6134105, 12.9839773]"
63,Misc,Unknown,blew fuse,Repairable,STPLN Sunday Repair,Repair Cafe Malmö,2019-03-31,"[55.6134105, 12.9839773]"
64,"Flat screen 26-30""",Unknown,None,Fixed,STPLN Sunday Repair,Repair Cafe Malmö,2019-03-31,"[55.6134105, 12.9839773]"
65,Hi-Fi integrated,Unknown,None,Unknown,STPLN Sunday Repair,Repair Cafe Malmö,2019-03-24,"[55.6134105, 12.9839773]"
66,Laptop medium,Lenovo,"It does not charge, and does not start even if there is charge in the battery",Repairable,STPLN Sunday Repair,Repair Cafe Malmö,2019-03-24,"[55.6134105, 12.9839773]"
67,Small kitchen item,Unknown,not working,Fixed,STPLN Sunday Repair,Repair Cafe Malmö,2019-03-24,"[55.6134105, 12.9839773]"
68,Mobile,Huawei,needs new battery,Repairable,STPLN Sunday Repair,Repair Cafe Malmö,2019-03-24,"[55.6134105, 12.9839773]"
69,Misc,Unknown,Naaimachine. Instellen en advies,Fixed,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
70,Misc,Unknown,Naaimachine. Instellen en advies,Fixed,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
71,Power tool,Unknown,Schuurmachine. Valt uit tijdens gebruik. Koolstofborstels versleten. Klant bestelt nieuwe;,Repairable,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
72,Misc,Unknown,Platenspeler. Werkt nog maar geeft geen geluid weer. Naald te vervangen.,Repairable,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
73,Misc,Unknown,CD speler. Deksel sluit niet meer.,End of life,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
74,Misc,Unknown,DVD speler. Maakt lawaai en speelt niets meer af. Laser zuiver gemaakt,Fixed,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
75,Lamp,Unknown,Poot afgebroken,Repairable,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
76,Laptop medium,Unknown,"Mails versturen lukt niet meer, blijven in postvak uit staan. Klant dient instellingen van provider aan te passen, advies gegeven",Repairable,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
77,Misc,Unknown,"Printer, print niet meer. Koppen zuiver gemaakt en inktpatronen vervangen",Fixed,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
78,Misc,Unknown,"Kruimeldief, laadt niet meer op. Lader doorgemeten, blijkt stuk",Repairable,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
79,Tablet,Unknown,Barsten in scherm. Beschermfolie aangebracht,Fixed,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
80,Misc,Unknown,"Senseo, Water loopt onderaan uit machine. Advies over onderhoud en gebruik gegeven",Repairable,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
81,Misc,Unknown,"Wafelijzer, warmt niet meer goed. Zuiver gemaakt",Fixed,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
82,Misc,Unknown,"CD speler, On Off knop werkt niet meer. Zuiver gemaakt",Fixed,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
83,Laptop medium,Unknown,Kabel versleten,Fixed,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
84,Vacuum,Unknown,Kabelroller is versleten,End of life,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
85,Tablet,Unknown,Toestel laadt niet meer op,Repairable,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
86,Misc,Unknown,"Weegschaal, Werkt niet meer. Batterijen vervangen, toestel blijkt stuk.",End of life,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
87,Laptop medium,Unknown,Advies ivm met werking toestel. Legale software geïnstalleerd,Fixed,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
88,Misc,Unknown,"Haagschaar, betrokkene had schakelaar vervangen, maar was fout gemonteerd",Fixed,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
89,Tablet,Unknown,Advies ivm werking toestel,Fixed,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
90,Small kitchen item,Unknown,"Crocque, stroomkabeltje kapot",Fixed,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
91,Portable radio,Unknown,On Off schakelaar werkt niet meer,Repairable,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
92,Portable radio,Unknown,Werkt niet meer,End of life,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
93,Misc,Unknown,"Naaimachine, Draadspanner ontbreekt, mechaniek versleten",End of life,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
94,Hair & Beauty item,Unknown,"Tandenborstel, oplader ontbreekt",End of life,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
95,Misc,Unknown,"Deken, viel uit, contacten gereinigd en soldeersel vernieuwd",Fixed,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
96,Misc,Unknown,"Hakselaar, motor start niet meer, contacten nagekeken",Fixed,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
97,Small kitchen item,Unknown,"Grill, kortsluiting, stekker vervangen",Fixed,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
98,Small kitchen item,Unknown,"Wafelijzer, contacten gereinigd",Fixed,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
99,Small kitchen item,Unknown,"Wafelijzer, thermostaat te vervangen",Repairable,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
100,Misc,Unknown,"Strijkijzer, handvat wordt heet en lekt water",Repairable,RCR @ Hostel H,Repair Cafe Runkst,2019-03-09,"[50.9299678, 5.3257882]"
101,PC Accessory,Unknown,None,Repairable,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
102,Laptop medium,Unknown,None,Repairable,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
103,Laptop large,Unknown,None,Repairable,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
104,PC Accessory,Unknown,None,End of life,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
105,Portable radio,Unknown,None,End of life,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
106,Laptop large,Unknown,None,End of life,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
107,Small kitchen item,Unknown,None,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
108,Portable radio,Unknown,None,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
109,Misc,Unknown,None,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
110,Hair & Beauty item,Unknown,shaver,End of life,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
111,"Flat screen 19-20""",Unknown,capacitor to be changed,Repairable,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
112,Misc,Unknown,None,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
113,Misc,Unknown,None,End of life,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
114,Lamp,Unknown,lamp holder,Repairable,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
115,Small kitchen item,Unknown,power supply,Repairable,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
116,Hair & Beauty item,Unknown,switch blocked,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
117,Misc,Unknown,door blocked,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
118,Headphones,Unknown,connector dissoldered,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
119,TV and gaming-related accessories,Unknown,None,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
120,Handheld entertainment device,Unknown,None,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
121,Misc,Unknown,None,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
122,Small kitchen item,Unknown,inductance,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
123,Small kitchen item,Unknown,does not turn on,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
124,PC Accessory,Unknown,no ouput,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
125,Laptop medium,Unknown,does not turn on,End of life,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
126,Laptop small,Unknown,does not turn on,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
127,PC Accessory,Apple,Stopped working. It was welded shut.,End of life,Rosie Restart Party,Restart HQ,2019-03-30,"[14.5994, 28.6731]"
128,Lamp,Rolson,"Battery contacts were loose, cleaned and reset using Sugru.",Fixed,Rosie Restart Party,Restart HQ,2019-03-30,"[14.5994, 28.6731]"
129,PC Accessory,Logitech,Components burned out,End of life,Rosie Restart Party,Restart HQ,2019-03-30,"[14.5994, 28.6731]"
130,Fan,veho,Stopped spinning/working,Repairable,Rosie Restart Party,Restart HQ,2019-03-30,"[14.5994, 28.6731]"
131,Fan,Unknown,Stopped spinning/working. Rewired and soldered the motor back in.,Fixed,Rosie Restart Party,Restart HQ,2019-03-30,"[14.5994, 28.6731]"
132,Decorative or safety lights,Unknown,"Unable to open to replace battery. Probably caused by battery leakage.
https://maglite.com/support/faq",End of life,Rosie Restart Party,Restart HQ,2019-03-30,"[14.5994, 28.6731]"
133,Misc,Unknown,"Appears to be a switch, which is glued in.",Repairable,Rosie Restart Party,Restart HQ,2019-03-30,"[14.5994, 28.6731]"
134,Toaster,Tesco,Didn't stay down or heat.,Fixed,Rosie Restart Party,Restart HQ,2019-03-30,"[14.5994, 28.6731]"
135,Hi-Fi integrated,Unknown,None,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
136,"Flat screen 15-17""",Unknown,None,End of life,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
137,Misc,Unknown,iron,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
138,DLSR / Video Camera,Unknown,None,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
139,Laptop medium,Unknown,None,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
140,Headphones,Unknown,"only one channel running, not stereo",Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
141,Toaster,Unknown,does not close,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
142,Small kitchen item,Unknown,Yes/No,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
143,Misc,Unknown,electric contact,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
144,Hair & Beauty item,Unknown,does not run,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
145,Misc,Unknown,does not heat,End of life,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
146,Misc,Unknown,no electric contact,End of life,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
147,Hair & Beauty item,Unknown,always powered on,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
148,Small kitchen item,Unknown,losses,Fixed,Biblioteca in Lambrate,Restarters Milano,2019-03-23,"[45.4642035, 9.189982]"
149,Toy,Unknown,Advice needed  - soldered,Fixed,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
150,Hi-Fi separates,Harman/Kardon,Speakers not turning on,Repairable,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
151,Small kitchen item,Unknown,Clock fell apart - fixed,Fixed,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
152,Hi-Fi separates,Apple,Speakers: fuse keeps blowing,Unknown,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
153,Hi-Fi separates,Acoustic Solutions,Amp not switching on - needs new transformer,Repairable,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
154,Hi-Fi separates,Unknown,Speaker - wiring needs fixing,Fixed,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
155,PC Accessory,Unknown,Disc not spinning,End of life,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
156,Decorative or safety lights,Unknown,needs wiring - replaced battery & resoldered,Fixed,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
157,Headphones,Sony,Loose connection - fixed,Fixed,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
158,Misc,Unknown,Needle of turntable not resting on record,Fixed,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
159,Laptop medium,Unknown,"Software issue, needs USB/DVD for backup -",Repairable,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
160,Small kitchen item,Unknown,Coffee machine trips circuit,Repairable,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
161,Laptop medium,Lenovo,"screw missing, sometimes shuts down",Repairable,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
162,Misc,Unknown,Laminator not feeding paper - needs paper to test,Repairable,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
163,Small kitchen item,Kenwood,Food blender - motor not working.,Repairable,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
164,Misc,Unknown,No power - still has guarantee,Repairable,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
165,Toaster,Unknown,"Burns in the middle, not at the ends - design fault",Repairable,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
166,Mobile,LG,Screen broken,Repairable,"VMA, Hringteigur",Restarters Iceland,2019-03-21,"[14.5994, 28.6731]"
167,Portable radio,Acoustic Solutions,Not turning on - turning on now but needs more work,Repairable,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
168,Mobile,LG,Screen broken,Repairable,"VMA, Hringteigur",Restarters Iceland,2019-03-21,"[14.5994, 28.6731]"
169,Mobile,Apple,Facetime not working - volume issue,Fixed,"Hackney Fixers Restart Party - The Redmond Centre, Manor House",Hackney Fixers,2019-01-19,"[51.573445, -0.07243759999999999]"
170,Musical instrument,Unknown,Connectiveity isses jack,Fixed,"VMA, Hringteigur",Restarters Iceland,2019-03-21,"[14.5994, 28.6731]"
