id,data_provider,country,language,product_category,brand,model,year_of_manufacture,repair_status,group_identifier,date,problem
restart_786,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,End of life,Restart HQ,2013-07-31,Laptop - Power cutting off - Needs new battery
restart_787,The Restart Project,GBR,English,Digital Compact Camera,Sony,Unknown,????,Repairable,Restart HQ,2013-07-31,Camera - Photos too dark - Owner following up with manufacturer
restart_788,The Restart Project,GBR,English,Hi-Fi separates,Unknown,Unknown,????,End of life,Restart HQ,2013-07-31,Audio component - No power - Needs a new capacitor
restart_789,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,Repairable,Restart HQ,2013-07-31,Laptop - Won't boot - Needs system reinstall
restart_790,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,Repairable,Restart HQ,2013-07-31,Laptop - Screen issue -
restart_791,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,Repairable,Restart HQ,2013-07-31,Laptop - Won't boot - Needed an external monitor to test
restart_792,The Restart Project,GBR,English,Laptop,Apple,Unknown,????,End of life,Restart HQ,2013-07-31,Laptop - Won't boot - Appears to be a motherboard issue
restart_793,The Restart Project,GBR,English,Laptop,Samsung,Unknown,????,End of life,Restart HQ,2013-07-31,Laptop - Gets no power - Appears to be a motherboard issue
restart_794,The Restart Project,GBR,English,Headphones,Unknown,Unknown,????,Fixed,Restart HQ,2013-07-31,Headphones - No sound output -
restart_795,The Restart Project,GBR,English,PC Accessory,Apple,Unknown,????,Fixed,Restart HQ,2013-07-31,Computer power adapter - Coming apart -
restart_796,The Restart Project,GBR,English,Laptop,Sony,Unknown,????,Repairable,Restart HQ,2013-07-31,Laptop - No sound output -
restart_797,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,Fixed,Restart HQ,2013-07-31,Laptop - Running slow -
restart_798,The Restart Project,GBR,English,Flat screen,Unknown,Unknown,????,Repairable,Restart HQ,2013-07-31,Monitor - Gets no power - Needs breaking open
restart_799,The Restart Project,GBR,English,TV and gaming-related accessories,Unknown,Unknown,????,Repairable,Restart HQ,2013-07-31,DVD recorder - Doesn't record -
restart_800,The Restart Project,GBR,English,Mobile,Unknown,Unknown,????,Repairable,Restart HQ,2013-07-31,Mobile - Won't boot -
restart_801,The Restart Project,GBR,English,Hi-Fi separates,Unknown,Unknown,????,Repairable,Restart HQ,2013-07-31,Audio component - No sound output -
restart_802,The Restart Project,GBR,English,TV and gaming-related accessories,Sony,Unknown,????,Repairable,Restart HQ,2013-07-31,Game console - Power cutting off -
restart_803,The Restart Project,GBR,English,Mobile,Apple,Unknown,????,Repairable,Restart HQ,2013-07-31,Mobile - No sound output -
restart_804,The Restart Project,GBR,English,Toaster,Unknown,Unknown,????,Repairable,Restart HQ,2013-07-31,Toaster - Gets no power - Needs a new element
restart_805,The Restart Project,GBR,English,Mobile,Samsung,Unknown,????,Repairable,Restart HQ,2013-07-31,Mobile - Gets no power -
restart_806,The Restart Project,GBR,English,Laptop,Apple,Unknown,????,End of life,Restart HQ,2013-07-31,Laptop - Intermittent fault - Couldn't replicate the fault
restart_807,The Restart Project,GBR,English,Desktop computer,HP,Unknown,????,End of life,Restart HQ,2013-07-31,Desktop computer - Power cutting off - Motherboard Ã¢â‚¬â€œ terminal
restart_808,The Restart Project,GBR,English,Lamp,Unknown,Unknown,????,Repairable,Restart HQ,2013-07-31,Lamp - Gets no power - Needs a new switch
restart_809,The Restart Project,GBR,English,Kettle,Unknown,Unknown,????,End of life,Restart HQ,2013-07-31,Kettle - Gets no power -
restart_810,The Restart Project,GBR,English,Misc,Unknown,Unknown,????,Fixed,Restart HQ,2013-07-31,Lined phone - No sound output -
restart_811,The Restart Project,GBR,English,Digital Compact Camera,Unknown,Unknown,????,End of life,Restart HQ,2013-07-31,Camera - Lens stuck -
restart_812,The Restart Project,GBR,English,Mobile,Sony,Unknown,????,Repairable,Restart HQ,2013-07-31,Mobile - Vibrating -
restart_813,The Restart Project,GBR,English,Kettle,Unknown,Unknown,????,End of life,Restart HQ,2013-07-31,Kettle - Gets no power -
restart_814,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,End of life,Restart HQ,2013-07-31,Laptop - Won't boot -
restart_815,The Restart Project,GBR,English,Mobile,Samsung,Unknown,????,Fixed,Restart HQ,2013-08-10,Mobile - Won't boot -
restart_816,The Restart Project,GBR,English,Digital Compact Camera,Canon,Unknown,????,End of life,Restart HQ,2013-08-10,Camera - No data output -
restart_817,The Restart Project,GBR,English,Mobile,Unknown,Unknown,????,Fixed,Restart HQ,2013-08-10,Headphones - Coming apart - Sugru
restart_818,The Restart Project,GBR,English,Mobile,ZDE,Unknown,????,Repairable,Restart HQ,2013-08-10,Mobile - Screen issue - Sourced screen and guide
restart_819,The Restart Project,GBR,English,Misc,Philips,Unknown,????,Fixed,Restart HQ,2013-08-10,Transcription machine - Gets no power - Battery corrosion
restart_820,The Restart Project,GBR,English,PC Accessory,Seagate,Unknown,????,End of life,Restart HQ,2013-08-10,HD - Faulty casing - Needs new casing
restart_821,The Restart Project,GBR,English,Laptop,Acer,Unknown,????,Fixed,Restart HQ,2013-08-10,Netbook - Loose power in -
restart_822,The Restart Project,GBR,English,Small kitchen item,Unknown,Unknown,????,End of life,Restart HQ,2013-08-10,Mini oven - No power - Needs new element
restart_823,The Restart Project,GBR,English,Small kitchen item,Unknown,Unknown,????,Fixed,Restart HQ,2013-08-10,Clock - No power - Battery corrosion
restart_824,The Restart Project,GBR,English,PC Accessory,Apple,Unknown,????,Fixed,Restart HQ,2013-08-10,Computer power adapter - Coming apart - Sugru
restart_825,The Restart Project,GBR,English,Digital Compact Camera,Unknown,Unknown,????,Repairable,Restart HQ,2013-08-10,Camera - Lens stuck -
restart_826,The Restart Project,GBR,English,Mobile,Sony,Unknown,????,Fixed,Restart HQ,2013-08-10,Mobile - Screen issue -
restart_827,The Restart Project,GBR,English,Laptop,HP,Unknown,????,End of life,Restart HQ,2013-08-18,Laptop - Unstable -
restart_828,The Restart Project,GBR,English,Laptop,Dell,Unknown,????,End of life,Restart HQ,2013-08-18,Laptop - Won't boot -
restart_829,The Restart Project,GBR,English,Laptop,Dell,Unknown,????,Fixed,Restart HQ,2013-08-18,Laptop - Liquid damage - Needs new keyboard
restart_830,The Restart Project,GBR,English,Hi-Fi separates,Unknown,Unknown,????,End of life,Restart HQ,2013-08-18,Audio component - Open/close mechanism - Mechanical problem not fixed
restart_831,The Restart Project,GBR,English,Laptop,Acer,Unknown,????,Fixed,Restart HQ,2013-08-18,Netbook - Loose power in -
restart_832,The Restart Project,GBR,English,Hi-Fi separates,Sony,Unknown,????,Repairable,Restart HQ,2013-08-18,Audio component - Mechanical problem - Part needed
restart_833,The Restart Project,GBR,English,Hi-Fi separates,Unknown,Unknown,????,End of life,Restart HQ,2013-08-18,Audio component - No sound output in one channel -
restart_834,The Restart Project,GBR,English,Handheld entertainment device,Apple,Unknown,????,Repairable,Restart HQ,2013-08-18,Mp3 player - Switch problem -
restart_835,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,Repairable,Restart HQ,2013-08-18,Netbook - Won't boot - Needs keyboard
restart_836,The Restart Project,GBR,English,Laptop,Dell,Unknown,????,End of life,Restart HQ,2013-08-18,Laptop - Overheats -
restart_837,The Restart Project,GBR,English,Mobile,Apple,Unknown,????,End of life,Restart HQ,2013-08-18,Mobile - Switch problem -
restart_838,The Restart Project,GBR,English,Hi-Fi separates,Fisher-Price,Unknown,????,Repairable,Restart HQ,2013-08-18,"Audio component - ""Fried"" after wrong voltage -"
restart_839,The Restart Project,GBR,English,Portable radio,Unknown,Unknown,????,Fixed,Restart HQ,2013-08-18,Handheld radio - Damaged casing -
restart_840,The Restart Project,GBR,English,Toy,Unknown,Unknown,????,End of life,Restart HQ,2013-08-18,"Remote controlled heli - After a crash, no lift -"
restart_841,The Restart Project,GBR,English,Hair & Beauty item,Unknown,Unknown,????,End of life,Restart HQ,2013-08-18,Toothbrush - After a drop - You have to break it to open it
restart_842,The Restart Project,GBR,English,Hi-Fi separates,Unknown,Unknown,????,Fixed,Restart HQ,2013-08-18,Audio component - Blown capacitor -
restart_843,The Restart Project,GBR,English,PC Accessory,Unknown,Unknown,????,Fixed,Restart HQ,2013-08-18,Laptop charger - No power -
restart_844,The Restart Project,GBR,English,PC Accessory,Unknown,Unknown,????,End of life,Restart HQ,2013-08-18,Laptop charger - No power -
restart_845,The Restart Project,GBR,English,Laptop,Samsung,Chromebook,????,End of life,Restart HQ,2013-08-18,Laptop - Loose power in -
restart_846,The Restart Project,GBR,English,Flat screen,Samsung,Unknown,????,End of life,Restart HQ,2013-08-18,TV - Image problem -
restart_847,The Restart Project,GBR,English,Aircon/Dehumidifier,Unknown,Unknown,????,End of life,Restart HQ,2013-08-18,Humidifier - No power -
restart_848,The Restart Project,GBR,English,Laptop,Toshiba,Unknown,????,Repairable,Restart HQ,2013-08-18,Laptop - Won't boot - Think its the graphics card
restart_849,The Restart Project,GBR,English,Mobile,Samsung,Unknown,????,End of life,Restart HQ,2013-08-18,Mobile - Bricked -
restart_850,The Restart Project,GBR,English,Printer/scanner,Canon,Unknown,????,Repairable,Restart HQ,2013-08-18,Printer - Black cartridge not working - Deep clean needed
restart_851,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,Fixed,Restart HQ,2013-08-18,Netbook - Boots but doesn't accept pw -
restart_852,The Restart Project,GBR,English,Hi-Fi integrated,Unknown,Unknown,????,Fixed,Restart HQ,2013-08-18,Home stereo - Sound problem -
restart_853,The Restart Project,GBR,English,Headphones,Sennheiser,Unknown,????,End of life,Restart HQ,2013-08-18,Headphones - No sound output in one channel -
restart_854,The Restart Project,GBR,English,Laptop,ASUS,Unknown,????,End of life,Restart HQ,2013-08-18,Laptop - Problem with adapter -
restart_855,The Restart Project,GBR,English,Laptop,Toshiba,Unknown,????,End of life,Restart HQ,2013-08-18,Laptop - won't boot -
restart_856,The Restart Project,GBR,English,Laptop,Dell,Unknown,????,End of life,Restart HQ,2013-08-18,Laptop - Running slow -
restart_857,The Restart Project,GBR,English,Portable radio,Roberts,Unknown,????,End of life,Restart HQ,2013-08-18,Radio - No signal -
restart_858,The Restart Project,GBR,English,Laptop,Packard Bell,Unknown,????,Fixed,Restart HQ,2013-09-14,Laptop - Running slow -
restart_859,The Restart Project,GBR,English,Laptop,Apple,Unknown,????,Repairable,Restart HQ,2013-09-14,Laptop - Broken screen - Needs replacement screen
restart_860,The Restart Project,GBR,English,Tablet,Unknown,Unknown,????,Fixed,Restart HQ,2013-09-14,Tablet - Battery issue -
restart_861,The Restart Project,GBR,English,Hi-Fi integrated,Unknown,Unknown,????,Fixed,Restart HQ,2013-09-14,Home stereo - Sound problem -
restart_862,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,Fixed,Restart HQ,2013-09-14,Laptop - No power -
restart_863,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,Fixed,Restart HQ,2013-09-14,Laptop - No power -
restart_864,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,Fixed,Restart HQ,2013-09-14,Laptop - Boots slowly -
restart_865,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,Repairable,Restart HQ,2013-09-14,Laptop - Won't boot - Needs windows boot disc
restart_866,The Restart Project,GBR,English,Decorative or safety lights,Unknown,Unknown,????,End of life,Restart HQ,2013-09-14,Bike lights - Battery issue - Soldered together
restart_867,The Restart Project,GBR,English,Digital Compact Camera,Unknown,Unknown,????,Fixed,Restart HQ,2013-09-14,Camera - Mechanical problem -
restart_868,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,Repairable,Restart HQ,2013-09-14,Laptop - Won't boot - Think its the graphic card
restart_869,The Restart Project,GBR,English,Hi-Fi separates,Unknown,Unknown,????,End of life,Restart HQ,2013-09-14,Audio component - No sound output in one channel -
restart_870,The Restart Project,GBR,English,Headphones,Unknown,Unknown,????,Repairable,Restart HQ,2013-09-14,Headphones - Sound problem - Laptop - medium
restart_871,The Restart Project,GBR,English,Hi-Fi integrated,Unknown,Unknown,????,Fixed,Restart HQ,2013-09-14,Home stereo - Mechanical problem -
restart_872,The Restart Project,GBR,English,Portable radio,Unknown,Unknown,????,Fixed,Restart HQ,2013-09-14,Radio - Sound problem - Midas touch
restart_873,The Restart Project,GBR,English,Hi-Fi separates,Unknown,Unknown,????,End of life,Restart HQ,2013-09-14,Audio component - Mechanical problem -
restart_874,The Restart Project,GBR,English,PC Accessory,Unknown,Unknown,????,End of life,Restart HQ,2013-09-14,External HD - No data output -
restart_875,The Restart Project,GBR,English,Laptop,Apple,Unknown,????,End of life,Restart HQ,2013-09-14,Laptop - No power -
restart_876,The Restart Project,GBR,English,Hi-Fi separates,Unknown,Unknown,????,Fixed,Restart HQ,2013-09-14,CD player - Mechanical problem - Midas touch
restart_877,The Restart Project,GBR,English,Decorative or safety lights,Unknown,Unknown,????,End of life,Restart HQ,2013-09-14,Watch - Battery issue -
restart_878,The Restart Project,GBR,English,Mobile,Apple,Unknown,????,Repairable,Restart HQ,2013-09-14,Mobile - No power -
restart_879,The Restart Project,GBR,English,Small kitchen item,Unknown,Unknown,????,Repairable,Restart HQ,2013-09-14,Ricecooker - Second time - more time
restart_880,The Restart Project,GBR,English,Printer/scanner,Canon,Unknown,????,End of life,Restart HQ,2013-09-14,Printer - Error message -
restart_881,The Restart Project,GBR,English,Printer/scanner,HP,Unknown,????,End of life,Restart HQ,2013-09-14,Printer - Mechical problem -
restart_882,The Restart Project,GBR,English,Hair & Beauty item,Unknown,Unknown,????,End of life,Restart HQ,2013-09-26,Defuser aromtherapy - No power -
restart_883,The Restart Project,GBR,English,Digital Compact Camera,Kodak,Unknown,????,End of life,Restart HQ,2013-09-26,Camera - No power -
restart_884,The Restart Project,GBR,English,TV and gaming-related accessories,Unknown,Unknown,????,End of life,Restart HQ,2013-09-26,DVD player - No sound - Probably a capacitor but not sure
restart_885,The Restart Project,GBR,English,Digital Compact Camera,Unknown,Unknown,????,End of life,Restart HQ,2013-09-26,Camera - Botched repair -
restart_886,The Restart Project,GBR,English,Printer/scanner,HP,Unknown,????,Fixed,Restart HQ,2013-09-26,Printer - Error message -
restart_887,The Restart Project,GBR,English,Hi-Fi separates,Unknown,Unknown,????,Repairable,Restart HQ,2013-09-26,CD player - Mechnical problem - Needs replacement switch
restart_888,The Restart Project,GBR,English,Power tool,Unknown,Unknown,????,Fixed,Restart HQ,2013-09-26,Power drill - No power -
restart_889,The Restart Project,GBR,English,Handheld entertainment device,Unknown,Unknown,????,End of life,Restart HQ,2013-09-26,Handheld radio - Running slow -
restart_890,The Restart Project,GBR,English,Kettle,Unknown,Unknown,????,Fixed,Restart HQ,2013-09-26,Kettle - Not heating -
restart_891,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,Fixed,Restart HQ,2013-09-26,Laptop - Keyboard -
restart_892,The Restart Project,GBR,English,Handheld entertainment device,Apple,Unknown,????,End of life,Restart HQ,2013-09-26,Mp3 player - Switch problem -
restart_893,The Restart Project,GBR,English,Hi-Fi integrated,Unknown,Unknown,????,Repairable,Restart HQ,2013-09-26,Home stereo - No power - Maybe the fuse
restart_894,The Restart Project,GBR,English,Mobile,Samsung,Unknown,????,End of life,Restart HQ,2013-09-26,Mobile - Battery issue -
restart_895,The Restart Project,GBR,English,Toy,Unknown,Unknown,????,End of life,Restart HQ,2013-09-26,Toy - No power -
restart_896,The Restart Project,GBR,English,Handheld entertainment device,Apple,Unknown,????,Fixed,Restart HQ,2013-09-26,Mp3 player - Switch problem -
restart_897,The Restart Project,GBR,English,Mobile,Samsung,Unknown,????,End of life,Restart HQ,2013-09-26,Mobile - No power -
restart_898,The Restart Project,GBR,English,Small kitchen item,Unknown,Unknown,????,Fixed,Restart HQ,2013-09-26,Clock - No power -
restart_899,The Restart Project,GBR,English,Digital Compact Camera,Unknown,Unknown,????,Repairable,Restart HQ,2013-10-19,Camera - Mechanical problem -
restart_900,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,End of life,Restart HQ,2013-10-19,Laptop - Internet issue - Virus problem
restart_901,The Restart Project,GBR,English,Laptop,Apple,Unknown,????,Repairable,Restart HQ,2013-10-19,Laptop - Strange screen/mouse -
restart_902,The Restart Project,GBR,English,Musical instrument,Yamaha,Unknown,????,Fixed,Restart HQ,2013-10-19,Drum machine - No power -
restart_903,The Restart Project,GBR,English,TV and gaming-related accessories,Unknown,Unknown,????,Fixed,Restart HQ,2013-10-19,VCR - No power - Was just the fuse
restart_904,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,End of life,Restart HQ,2013-10-19,Laptop - Won't boot -
restart_905,The Restart Project,GBR,English,Digital Compact Camera,Unknown,Unknown,????,Repairable,Restart HQ,2013-10-19,Camera - No power - Needs new part
restart_906,The Restart Project,GBR,English,PC Accessory,Unknown,Unknown,????,End of life,Restart HQ,2013-10-19,Solar charger - Battery issue - Needed to break it to get inside
restart_907,The Restart Project,GBR,English,PC Accessory,Unknown,Unknown,????,End of life,Restart HQ,2013-10-19,External HD - No data output - Identified the problem
restart_908,The Restart Project,GBR,English,Headphones,Unknown,Unknown,????,Fixed,Restart HQ,2013-10-19,Headphones - Faulty jack -
restart_909,The Restart Project,GBR,English,PC Accessory,Unknown,Unknown,????,Fixed,Restart HQ,2013-10-19,Camera charger - Never worked - Mismatch with the camera
restart_910,The Restart Project,GBR,English,Printer/scanner,Canon,Unknown,????,Repairable,Restart HQ,2013-10-19,Printer - Adjustment needed - Needs professional adjustment
restart_911,The Restart Project,GBR,English,Mobile,Samsung,Unknown,????,End of life,Restart HQ,2013-10-19,Mobile - Bricked -
restart_912,The Restart Project,GBR,English,Laptop,Apple,Unknown,????,Fixed,Restart HQ,2013-10-19,Laptop - Battery issue -
restart_913,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,Fixed,Restart HQ,2013-10-19,"Laptop - Running slow, battery issues - Running faster"
restart_914,The Restart Project,GBR,English,Laptop,Dell,Unknown,????,Fixed,Restart HQ,2013-10-19,Laptop - Won't boot - Installed Linux
restart_915,The Restart Project,GBR,English,Mobile,Apple,Unknown,????,Repairable,Restart HQ,2013-10-19,Mobile - Screen issue - Not enough time
restart_916,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,End of life,Restart HQ,2013-10-19,Laptop - Screen issue -
restart_917,The Restart Project,GBR,English,Mobile,Apple,Unknown,????,End of life,Restart HQ,2013-10-19,Mobile - No SIM card recognition -
restart_918,The Restart Project,GBR,English,Hi-Fi separates,Unknown,Unknown,????,End of life,Restart HQ,2013-10-19,CD player - Doesn't play - Not enough time
restart_919,The Restart Project,GBR,English,Mobile,Samsung,Unknown,????,End of life,Restart HQ,2013-10-19,Mobile - Won't boot - Not enough time
restart_920,The Restart Project,GBR,English,Laptop,Dell,Unknown,????,Repairable,Restart HQ,2013-10-19,Laptop - Running slow - Gave a utility
restart_921,The Restart Project,GBR,English,PC Accessory,Unknown,Unknown,????,End of life,Restart HQ,2013-10-19,"External DVD - Dropped, not reading -"
restart_922,The Restart Project,GBR,English,Lamp,Unknown,Unknown,????,Fixed,Restart HQ,2013-10-19,Lamp - Shorting -
restart_923,The Restart Project,GBR,English,Laptop,Dell,Unknown,????,End of life,Restart HQ,2013-10-19,Laptop - Overheats -
restart_924,The Restart Project,GBR,English,Laptop,Packard Bell,Unknown,????,End of life,Restart HQ,2013-10-19,Laptop - Power in problem -
restart_925,The Restart Project,GBR,English,Laptop,HP,Unknown,????,Repairable,Restart HQ,2013-10-19,Laptop - DVD player broken -
restart_926,The Restart Project,GBR,English,Laptop,Acer,Unknown,????,End of life,Restart HQ,2013-10-19,Laptop - Won't boot -
restart_927,The Restart Project,GBR,English,Laptop,Toshiba,Unknown,????,Fixed,Restart HQ,2013-10-19,Laptop - Won't boot -
restart_928,The Restart Project,GBR,English,Hi-Fi integrated,Samsung,Unknown,????,Fixed,Restart HQ,2013-11-10,TV - No picture - Midas touch
restart_929,The Restart Project,GBR,English,Hi-Fi integrated,Sharp,Unknown,????,Fixed,Restart HQ,2013-11-10,Home stereo - CD doesn't read -
restart_930,The Restart Project,GBR,English,Handheld entertainment device,Apple,Unknown,????,End of life,Restart HQ,2013-11-10,Mp3 player - Screen issue -
restart_931,The Restart Project,GBR,English,Mobile,HTC,Unknown,????,Fixed,Restart HQ,2013-11-10,Mobile - Firmware issue - Improved
restart_932,The Restart Project,GBR,English,Laptop,Samsung,Unknown,????,Fixed,Restart HQ,2013-11-10,Netbook - Power in problem - Soldered or sugrued
restart_933,The Restart Project,GBR,English,Mobile,Samsung,Unknown,????,Fixed,Restart HQ,2013-11-10,Mobile - Firmware issue -
restart_934,The Restart Project,GBR,English,Desktop computer,Unknown,Unknown,????,Fixed,Restart HQ,2013-11-10,PC Tower - Power issue
restart_935,The Restart Project,GBR,English,Hi-Fi separates,Unknown,Unknown,????,End of life,Restart HQ,2013-11-10,Home stereo - No power -
restart_936,The Restart Project,GBR,English,Hi-Fi separates,JBL,Unknown,????,Fixed,Restart HQ,2013-11-10,External speakers - No sound -
restart_937,The Restart Project,GBR,English,Handheld entertainment device,Unknown,Unknown,????,End of life,Restart HQ,2013-11-10,GPS device - Won't boot -
restart_938,The Restart Project,GBR,English,Headphones,Unknown,Unknown,????,Fixed,Restart HQ,2013-11-10,Headphones - No sound in one channel -
restart_939,The Restart Project,GBR,English,Laptop,HP,Unknown,????,End of life,Restart HQ,2013-11-10,Laptop - No power -
restart_940,The Restart Project,GBR,English,Printer/scanner,HP,Unknown,????,Repairable,Restart HQ,2013-11-10,Printer - Paper jam error - No time
restart_941,The Restart Project,GBR,English,Laptop,Apple,Unknown,????,Repairable,Restart HQ,2013-11-10,Laptop - Mousepad issue - No time
restart_942,The Restart Project,GBR,English,Flat screen,Samsung,Unknown,????,Fixed,Restart HQ,2013-11-12,TV - Intermittent fault - Need to followup
restart_943,The Restart Project,GBR,English,Hi-Fi integrated,Unknown,Unknown,????,Fixed,Restart HQ,2013-11-12,Home stereo - CD doesn't read - Found a work-around
restart_944,The Restart Project,GBR,English,Laptop,Apple,Unknown,????,Fixed,Restart HQ,2013-11-12,Laptop - Keyboard - Got 3 keys bacl
restart_945,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,Fixed,Restart HQ,2013-11-12,Laptop - Running slow - Sped up but new RAM advised
restart_946,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,Fixed,Restart HQ,2013-11-12,Laptop - Won't boot - More stable
restart_947,The Restart Project,GBR,English,Handheld entertainment device,Apple,Unknown,????,Repairable,Restart HQ,2013-11-12,Mp3 player - No sound in one channel -
restart_948,The Restart Project,GBR,English,Portable radio,Unknown,Unknown,????,Fixed,Restart HQ,2013-11-12,Radio - LCD screen -
restart_949,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,End of life,Restart HQ,2013-11-12,Laptop - Screen issue -
restart_950,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,End of life,Restart HQ,2013-11-12,Laptop - Overheating -
restart_951,The Restart Project,GBR,English,Laptop,Unknown,Unknown,????,Repairable,Restart HQ,2013-11-12,Laptop - No power - Advice given
restart_952,The Restart Project,GBR,English,Hi-Fi separates,Unknown,Unknown,????,Fixed,Restart HQ,2013-11-12,Portable stereo - Power in problem -
restart_953,The Restart Project,GBR,English,Hi-Fi separates,Unknown,Unknown,????,End of life,Restart HQ,2013-11-12,Speaker - Subwoofer resistor -
restart_954,The Restart Project,GBR,English,Small kitchen item,Unknown,Unknown,????,Fixed,Restart HQ,2013-11-12,Juicer - No power -
